,reward
0,
1,1
2,6
3,1
4,2
5,2
6,10
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,2
19,4
20,2
21,0
22,3
23,0
24,0
25,1
26,1
27,2
28,1
29,1
30,0
31,8
32,5
33,5
34,1
35,6
36,0
37,3
38,6
39,5
40,7
41,3
42,6
43,0
44,5
45,5
46,4
47,3
48,0
49,5
50,6
51,7
52,10
53,2
54,5
55,4
56,2
57,0
58,2
59,7
60,8
61,3
62,7
63,9
64,1
65,2
66,1
67,10
68,7
69,2
70,8
71,8
72,8
73,6
74,5
75,1
76,3
77,6
78,5
79,0
80,9
81,8
82,6
83,2
84,2
85,3
86,2
87,2
88,2
89,3
90,2
91,7
92,3
93,7
94,4
95,10
96,7
97,8
98,4
99,2
100,8
101,2
102,9
103,6
104,2
105,2
106,9
107,1
108,8
109,2
110,6
111,2
112,8
113,4
114,3
115,3
116,6
117,5
118,2
119,8
120,7
121,3
122,4
123,7
124,6
125,5
126,3
127,6
128,1
129,2
130,5
131,6
132,3
133,2
134,3
135,5
136,0
137,2
138,2
139,2
140,7
141,4
142,3
143,5
144,6
145,0
146,3
147,7
148,9
149,2
150,2
151,9
152,6
153,6
154,6
155,14
156,2
157,4
158,7
159,2
160,4
161,5
162,9
163,3
164,7
165,0
166,6
167,3
168,11
169,14
170,9
171,0
172,7
173,7
174,5
175,13
176,14
177,8
178,9
179,8
180,0
181,0
182,2
183,7
184,0
185,0
186,2
187,0
188,1
189,6
190,0
191,9
192,2
193,2
194,3
195,7
196,0
197,3
198,0
199,0
200,3
201,4
202,4
203,1
204,3
205,1
206,5
207,3
208,0
209,2
210,4
211,1
212,9
213,16
214,16
215,13
216,5
217,10
218,14
219,1
220,0
221,4
222,6
223,5
224,6
225,0
226,2
227,11
228,14
229,4
230,5
231,0
232,8
233,11
234,2
235,5
236,8
237,5
238,10
239,2
240,17
241,13
242,11
243,6
244,7
245,12
246,15
247,12
248,14
249,12
250,5
251,0
252,1
253,0
254,0
255,1
256,0
257,5
258,2
259,8
260,5
261,5
262,2
263,1
264,2
265,9
266,0
267,2
268,7
269,3
270,2
271,6
272,12
273,11
274,6
275,3
276,1
277,0
278,5
279,5
280,10
281,15
282,3
283,3
284,5
285,7
286,7
287,4
288,5
289,3
290,2
291,15
292,6
293,12
294,14
295,7
296,17
297,11
298,5
299,2
300,11
301,7
302,11
303,5
304,11
305,11
306,13
307,14
308,1
309,14
310,6
311,5
312,5
313,6
314,11
315,17
316,6
317,0
318,15
319,8
320,3
321,0
322,4
323,6
324,13
325,15
326,3
327,14
328,15
329,10
330,18
331,15
332,7
333,17
334,18
335,14
336,8
337,7
338,17
339,8
340,3
341,18
342,1
343,17
344,1
345,18
346,5
347,13
348,4
349,5
350,15
351,18
352,12
353,10
354,16
355,10
356,13
357,1
358,1
359,2
360,10
361,7
362,17
363,17
364,4
365,18
366,2
367,7
368,6
369,10
370,11
371,1
372,12
373,17
374,17
375,17
376,18
377,16
378,13
379,7
380,8
381,16
382,3
383,14
384,18
385,17
386,18
387,12
388,16
389,17
390,19
391,16
392,16
393,7
394,14
395,11
396,1
397,16
398,6
399,3
400,15
401,3
402,11
403,7
404,14
405,8
406,7
407,7
408,3
409,6
410,10
411,1
412,6
413,7
414,1
415,4
416,10
417,15
418,7
419,8
420,7
421,4
422,10
423,14
424,3
425,6
426,1
427,7
428,4
429,0
430,7
431,0
432,2
433,1
434,9
435,1
436,6
437,5
438,10
439,7
440,14
441,6
442,9
443,6
444,6
445,6
446,7
447,17
448,4
449,8
450,6
451,2
452,16
453,6
454,6
455,8
456,3
457,12
458,7
459,9
460,3
461,9
462,10
463,18
464,9
465,8
466,10
467,11
468,14
469,14
470,14
471,10
472,14
473,17
474,19
475,18
476,15
477,9
478,6
479,18
480,15
481,15
482,9
483,7
484,14
485,11
486,12
487,8
488,7
489,17
490,17
491,7
492,10
493,14
494,8
495,8
496,2
497,7
498,9
499,16
500,3
501,5
502,3
503,4
504,15
505,14
506,7
507,4
508,0
509,2
510,6
511,0
512,14
513,4
514,2
515,6
516,9
517,4
518,7
519,7
520,8
521,7
522,10
523,7
524,3
525,6
526,15
527,0
528,3
529,6
530,17
531,8
532,7
533,14
534,7
535,7
536,13
537,0
538,17
539,15
540,1
541,8
542,1
543,7
544,7
545,7
546,11
547,11
548,11
549,5
550,3
551,7
552,5
553,4
554,16
555,5
556,1
557,4
558,3
559,3
560,4
561,3
562,2
563,6
564,4
565,8
566,3
567,7
568,9
569,7
570,9
571,2
572,2
573,0
574,2
575,5
576,2
577,7
