,reward
0,
1,41
2,15
3,9
4,2
5,5
6,5
7,14
8,5
9,5
10,2
11,1
12,5
13,3
14,2
15,2
16,7
17,1
18,0
19,2
20,2
21,11
22,1
23,2
24,3
25,23
26,2
27,3
28,3
29,3
30,2
31,10
32,10
33,5
34,1
35,13
36,2
37,4
38,2
39,2
40,1
41,2
42,10
43,2
44,2
45,4
46,12
47,2
48,16
49,2
50,1
51,5
52,1
53,12
54,3
55,14
56,2
57,3
58,6
59,1
60,10
61,2
62,2
63,7
64,15
65,2
66,2
67,11
68,16
69,8
70,10
71,15
72,9
73,5
74,11
75,2
76,14
77,12
78,11
79,13
80,4
81,11
82,10
83,14
84,2
85,16
86,12
87,13
88,13
89,20
90,1
91,16
92,10
93,15
94,6
95,2
96,7
97,19
98,11
99,17
100,12
101,12
102,7
103,10
104,7
105,7
106,3
107,11
108,5
109,16
110,13
111,2
112,10
113,8
114,1
115,16
116,12
117,4
118,16
119,13
120,14
121,15
122,4
123,16
124,18
125,10
126,11
127,14
128,14
129,8
130,8
131,20
132,10
133,9
134,9
135,18
136,14
137,15
138,15
139,17
140,15
141,14
142,10
143,12
144,2
145,1
146,14
147,14
148,15
149,12
150,8
151,11
152,29
153,24
154,2
155,20
156,12
157,15
158,3
159,8
160,5
161,7
162,12
163,17
164,14
165,12
166,2
167,6
168,8
169,1
170,10
171,30
172,2
173,12
174,20
175,11
176,15
177,8
178,12
179,17
180,19
181,15
182,16
183,24
184,21
185,4
186,16
187,15
188,12
189,14
190,18
191,17
192,8
193,15
194,11
195,1
196,7
197,7
198,20
199,19
200,18
201,7
202,2
203,7
204,18
205,16
206,15
207,21
208,18
209,10
210,20
211,24
212,12
213,4
214,15
215,14
216,13
217,11
218,16
219,16
220,16
221,17
222,13
223,18
224,13
225,13
226,15
227,16
228,16
229,14
230,14
231,15
232,16
233,15
234,17
235,14
236,13
237,13
238,15
239,25
240,14
241,14
242,15
243,12
244,9
245,15
246,16
247,15
248,14
249,15
250,15
251,18
252,14
253,18
254,15
255,15
256,15
257,9
258,15
259,6
260,12
261,14
262,15
263,16
264,21
265,13
266,10
267,25
268,12
269,13
270,15
271,10
272,6
273,17
274,20
275,13
276,15
277,14
278,15
279,21
280,17
281,15
282,13
283,14
284,26
285,6
286,4
287,14
288,16
289,8
290,17
291,13
292,14
293,21
294,8
295,15
296,25
297,11
298,19
299,16
300,5
301,15
302,14
303,15
304,14
305,20
306,18
307,6
308,6
309,25
310,15
311,19
312,7
313,12
314,14
315,11
316,17
317,18
318,27
319,19
320,14
321,18
322,17
323,20
324,20
325,31
326,17
327,19
328,19
329,15
330,22
331,8
332,18
333,14
334,20
335,15
336,15
337,15
338,14
339,27
340,14
341,12
342,12
343,10
344,21
345,17
346,18
347,15
348,20
349,15
350,20
351,10
352,25
353,27
354,4
355,18
356,20
357,5
358,12
359,5
360,10
361,15
362,13
363,9
364,13
365,13
366,7
367,13
368,13
369,17
370,7
371,6
372,15
373,13
374,7
375,34
376,14
377,7
378,9
379,9
380,10
381,11
382,13
383,14
384,10
385,16
386,15
387,15
388,17
389,17
390,14
391,12
392,14
393,15
394,19
395,16
396,5
397,16
398,16
399,22
400,12
401,24
402,12
403,20
404,31
405,17
406,19
407,9
408,7
409,6
410,15
411,21
412,14
413,17
414,12
415,10
416,9
417,13
418,19
419,17
420,20
421,8
422,12
423,17
424,20
425,12
426,12
427,21
428,11
429,9
430,12
431,13
432,13
433,25
434,10
435,15
436,24
437,21
438,19
439,6
440,15
441,17
442,20
443,19
444,17
445,9
446,13
447,6
448,20
449,29
450,16
451,15
452,10
453,15
454,16
455,24
456,26
457,17
458,24
459,13
460,26
461,21
462,9
463,7
464,11
465,19
466,15
467,13
468,20
469,18
470,13
471,10
472,10
473,17
474,13
475,9
476,34
477,14
478,25
479,23
480,17
481,6
482,14
483,6
484,26
485,13
486,8
487,7
488,25
489,13
