,reward,workers,supply_depot,barracks
0,,,,
1,8.0,16.0,5.0,2.0
2,13.0,16.0,5.0,2.0
3,28.0,27.0,5.0,2.0
4,9.0,20.0,4.0,2.0
5,1.0,20.0,5.0,2.0
6,17.0,25.0,5.0,2.0
7,19.0,16.0,5.0,2.0
8,15.0,26.0,5.0,2.0
9,3.0,19.0,5.0,2.0
10,11.0,25.0,5.0,2.0
11,4.0,19.0,4.0,2.0
12,1.0,22.0,3.0,2.0
13,12.0,21.0,4.0,2.0
14,13.0,23.0,4.0,2.0
15,2.0,16.0,5.0,2.0
16,8.0,17.0,5.0,2.0
17,9.0,18.0,5.0,2.0
18,6.0,20.0,3.0,2.0
19,7.0,17.0,5.0,2.0
20,35.0,19.0,5.0,1.0
21,12.0,18.0,4.0,2.0
22,23.0,16.0,4.0,2.0
23,9.0,23.0,4.0,2.0
24,13.0,28.0,5.0,2.0
25,13.0,19.0,5.0,2.0
26,14.0,21.0,5.0,2.0
27,4.0,19.0,5.0,2.0
28,9.0,16.0,5.0,2.0
29,17.0,24.0,5.0,2.0
30,5.0,23.0,3.0,2.0
31,34.0,18.0,5.0,2.0
32,10.0,21.0,4.0,2.0
33,9.0,25.0,5.0,2.0
34,21.0,22.0,5.0,2.0
35,6.0,19.0,5.0,2.0
36,4.0,18.0,5.0,2.0
37,13.0,19.0,5.0,2.0
38,1.0,22.0,3.0,2.0
39,7.0,16.0,1.0,2.0
40,9.0,26.0,4.0,2.0
41,5.0,16.0,5.0,2.0
42,2.0,15.0,5.0,2.0
43,9.0,14.0,4.0,2.0
44,0.0,19.0,4.0,2.0
45,0.0,19.0,2.0,1.0
46,0.0,15.0,5.0,2.0
47,10.0,17.0,4.0,2.0
48,6.0,19.0,5.0,2.0
49,1.0,20.0,3.0,2.0
50,9.0,23.0,5.0,2.0
51,9.0,16.0,5.0,2.0
52,9.0,15.0,4.0,2.0
53,3.0,26.0,3.0,2.0
54,2.0,20.0,3.0,2.0
55,3.0,18.0,5.0,2.0
56,12.0,21.0,4.0,2.0
57,1.0,21.0,2.0,2.0
58,3.0,23.0,5.0,2.0
59,12.0,18.0,5.0,2.0
60,38.0,17.0,5.0,2.0
61,9.0,24.0,5.0,2.0
62,6.0,22.0,3.0,2.0
63,2.0,18.0,5.0,2.0
64,7.0,23.0,5.0,2.0
65,3.0,22.0,5.0,2.0
66,4.0,21.0,5.0,2.0
67,4.0,22.0,5.0,2.0
68,10.0,12.0,2.0,2.0
69,5.0,29.0,5.0,2.0
70,5.0,20.0,5.0,2.0
71,1.0,15.0,4.0,2.0
72,0.0,15.0,3.0,2.0
73,3.0,22.0,4.0,2.0
74,13.0,20.0,4.0,2.0
75,2.0,19.0,5.0,2.0
76,3.0,14.0,5.0,2.0
77,15.0,16.0,5.0,2.0
78,14.0,18.0,5.0,2.0
79,11.0,17.0,3.0,2.0
80,3.0,23.0,5.0,2.0
81,11.0,22.0,5.0,2.0
82,7.0,27.0,4.0,2.0
83,27.0,20.0,5.0,2.0
84,18.0,21.0,3.0,2.0
85,19.0,19.0,4.0,2.0
86,12.0,18.0,5.0,2.0
87,32.0,23.0,5.0,2.0
88,20.0,20.0,5.0,2.0
89,3.0,17.0,3.0,2.0
90,24.0,30.0,5.0,2.0
91,12.0,19.0,5.0,2.0
92,23.0,23.0,4.0,2.0
93,18.0,20.0,5.0,2.0
94,1.0,23.0,4.0,2.0
95,8.0,20.0,2.0,2.0
96,8.0,17.0,5.0,2.0
