,reward,workers
0,,
1,27,28.0
2,29,26.0
3,37,18.0
4,33,12.0
5,19,12.0
6,19,13.0
7,35,13.0
8,31,13.0
9,15,13.0
10,10,12.0
11,10,13.0
12,36,19.0
13,10,13.0
14,11,12.0
15,36,13.0
16,34,13.0
17,18,13.0
18,18,13.0
19,35,13.0
20,27,15.0
21,27,12.0
22,28,14.0
23,32,13.0
24,32,15.0
25,34,13.0
26,34,13.0
27,15,16.0
28,19,12.0
29,25,14.0
30,34,13.0
31,28,14.0
32,34,13.0
33,20,14.0
34,34,13.0
35,31,13.0
36,28,13.0
37,35,12.0
38,26,13.0
39,19,14.0
40,26,13.0
41,36,13.0
42,31,16.0
43,34,13.0
44,27,12.0
45,31,12.0
46,34,13.0
47,18,13.0
48,37,17.0
49,34,13.0
50,18,13.0
51,34,13.0
52,34,13.0
53,26,13.0
54,34,13.0
55,24,15.0
56,11,12.0
57,34,13.0
58,7,13.0
59,42,13.0
60,25,14.0
61,30,13.0
62,26,13.0
63,31,13.0
64,33,13.0
65,12,14.0
66,18,13.0
67,12,13.0
68,18,13.0
69,34,13.0
70,34,13.0
71,19,12.0
72,10,13.0
73,30,13.0
74,38,13.0
75,40,13.0
76,37,13.0
77,32,13.0
78,34,13.0
79,23,16.0
80,26,13.0
81,42,13.0
82,18,13.0
83,19,12.0
84,29,13.0
85,40,14.0
86,32,14.0
87,28,12.0
88,21,14.0
89,34,13.0
90,32,12.0
91,33,13.0
92,17,12.0
93,34,12.0
94,42,13.0
95,33,12.0
96,27,12.0
97,9,14.0
98,32,13.0
99,26,14.0
100,38,13.0
101,16,14.0
102,42,13.0
103,33,14.0
104,19,14.0
105,34,13.0
106,30,14.0
107,24,14.0
108,36,15.0
109,34,13.0
110,28,15.0
111,19,12.0
112,29,14.0
113,10,13.0
114,27,12.0
115,42,12.0
116,42,13.0
117,40,15.0
118,32,13.0
119,26,13.0
120,26,13.0
121,26,13.0
122,1,16.0
123,25,14.0
124,27,12.0
125,32,15.0
126,18,13.0
127,28,18.0
128,41,13.0
129,27,13.0
130,18,14.0
131,34,13.0
132,28,15.0
133,19,12.0
134,39,16.0
135,42,13.0
136,10,13.0
137,29,13.0
138,22,13.0
139,26,13.0
140,32,15.0
141,39,13.0
142,34,13.0
143,20,14.0
144,40,15.0
145,34,13.0
146,18,13.0
147,34,13.0
148,35,12.0
149,33,13.0
150,42,13.0
151,26,13.0
152,29,18.0
153,11,12.0
154,42,13.0
155,34,13.0
156,17,12.0
157,34,13.0
158,24,14.0
159,10,13.0
160,34,13.0
161,42,13.0
162,27,14.0
163,42,13.0
164,31,14.0
165,25,14.0
166,36,16.0
167,35,12.0
168,42,13.0
169,11,12.0
170,28,14.0
171,34,13.0
172,33,14.0
173,41,13.0
174,42,13.0
175,23,14.0
176,18,13.0
177,42,13.0
178,42,13.0
179,29,13.0
180,29,12.0
181,33,14.0
182,19,12.0
183,34,13.0
184,18,13.0
185,22,14.0
186,33,14.0
187,10,13.0
188,19,13.0
189,25,14.0
190,35,12.0
191,28,14.0
192,35,12.0
193,26,13.0
194,34,13.0
195,11,12.0
196,26,13.0
197,21,14.0
198,42,13.0
199,34,13.0
200,42,13.0
201,42,13.0
202,32,15.0
203,42,13.0
204,41,13.0
205,22,14.0
206,26,13.0
207,40,15.0
208,29,13.0
209,18,13.0
210,37,13.0
211,11,12.0
212,41,13.0
213,26,13.0
214,39,13.0
215,34,13.0
216,34,13.0
217,40,13.0
218,18,13.0
219,31,13.0
