,mineral_count,vispen_count,scv_count,reward
0,,,,
1,1120.0,444.0,16.0,
2,1045.0,28.0,13.0,
3,1280.0,380.0,16.0,
4,915.0,124.0,15.0,
5,1525.0,344.0,17.0,
6,2035.0,304.0,17.0,
7,995.0,492.0,13.0,
8,1145.0,456.0,14.0,
9,1490.0,488.0,14.0,
10,1680.0,236.0,14.0,
11,1370.0,204.0,19.0,
12,895.0,540.0,13.0,
13,1335.0,40.0,16.0,
14,1420.0,56.0,14.0,
15,1160.0,268.0,18.0,
16,1535.0,652.0,16.0,
17,1175.0,332.0,19.0,
18,1010.0,600.0,15.0,
19,1260.0,236.0,13.0,
20,735.0,280.0,14.0,
21,540.0,492.0,15.0,
22,1345.0,324.0,14.0,
23,1405.0,524.0,15.0,
24,2160.0,0.0,14.0,
25,1815.0,132.0,15.0,
26,995.0,216.0,14.0,
27,1090.0,176.0,18.0,
28,995.0,316.0,14.0,
29,550.0,300.0,20.0,
30,775.0,360.0,17.0,
31,525.0,324.0,16.0,
32,500.0,356.0,14.0,
33,900.0,460.0,15.0,
34,720.0,400.0,14.0,
35,810.0,296.0,15.0,
36,880.0,40.0,15.0,
37,980.0,436.0,13.0,
38,2225.0,252.0,16.0,
39,1340.0,220.0,18.0,
40,1885.0,224.0,17.0,
41,1855.0,260.0,14.0,
42,1410.0,408.0,17.0,
43,410.0,492.0,15.0,
44,1490.0,224.0,15.0,
45,845.0,128.0,16.0,
46,1480.0,24.0,16.0,
47,1295.0,272.0,14.0,
48,900.0,556.0,13.0,
49,1525.0,152.0,15.0,
50,1305.0,636.0,13.0,
51,2100.0,284.0,15.0,
52,1510.0,392.0,17.0,
53,350.0,552.0,14.0,
54,585.0,484.0,14.0,
55,100.0,204.0,15.0,
56,35.0,60.0,13.0,
57,630.0,48.0,15.0,
58,1060.0,232.0,14.0,
59,465.0,580.0,15.0,
60,110.0,72.0,15.0,
61,745.0,388.0,18.0,
62,1195.0,0.0,14.0,
63,1230.0,164.0,13.0,
64,270.0,504.0,15.0,
65,90.0,188.0,15.0,
66,1815.0,0.0,15.0,
67,1545.0,316.0,13.0,
68,1675.0,224.0,15.0,
69,415.0,460.0,15.0,
70,275.0,116.0,14.0,
71,1025.0,264.0,14.0,
72,1215.0,468.0,15.0,
73,1900.0,160.0,15.0,
74,2585.0,52.0,17.0,
75,2075.0,0.0,15.0,
76,2130.0,136.0,18.0,
77,2125.0,0.0,15.0,
78,1090.0,468.0,13.0,
79,510.0,496.0,16.0,
80,275.0,372.0,15.0,
81,10.0,280.0,15.0,
82,780.0,324.0,15.0,
83,50.0,304.0,15.0,
84,445.0,384.0,15.0,
85,1410.0,0.0,14.0,
86,2380.0,0.0,14.0,
87,915.0,440.0,15.0,
88,2020.0,40.0,14.0,
89,1635.0,64.0,15.0,
90,1100.0,588.0,16.0,
91,1925.0,0.0,13.0,
92,830.0,668.0,14.0,
93,260.0,112.0,14.0,
94,1805.0,304.0,14.0,
95,1300.0,564.0,12.0,
96,1290.0,372.0,12.0,
97,15.0,416.0,15.0,
98,25.0,220.0,15.0,
99,1025.0,156.0,13.0,
100,590.0,604.0,15.0,
101,1065.0,332.0,15.0,
102,1385.0,108.0,14.0,
103,1730.0,256.0,17.0,
104,985.0,108.0,13.0,
105,555.0,372.0,15.0,
106,1705.0,116.0,16.0,
107,540.0,460.0,14.0,
108,1075.0,464.0,18.0,
109,840.0,468.0,12.0,
110,525.0,312.0,14.0,
111,1625.0,552.0,14.0,
112,1330.0,552.0,15.0,
113,590.0,368.0,21.0,
114,1765.0,68.0,13.0,
115,1360.0,380.0,13.0,
116,2325.0,172.0,18.0,
117,1070.0,556.0,16.0,
118,2130.0,0.0,14.0,
119,2790.0,52.0,15.0,
120,2490.0,148.0,15.0,
121,125.0,512.0,15.0,
122,245.0,340.0,15.0,
123,795.0,0.0,17.0,
124,885.0,520.0,15.0,
125,2035.0,240.0,17.0,
126,2030.0,136.0,16.0,
127,3090.0,160.0,15.0,
128,2260.0,304.0,15.0,
129,1750.0,72.0,15.0,
130,505.0,376.0,12.0,
131,1845.0,180.0,15.0,
132,1970.0,84.0,16.0,
133,1450.0,160.0,14.0,
134,1760.0,72.0,14.0,
135,1245.0,600.0,15.0,
136,1760.0,304.0,16.0,
137,2460.0,48.0,16.0,
138,1935.0,600.0,15.0,
139,1350.0,420.0,13.0,
140,1140.0,308.0,15.0,
141,2390.0,0.0,15.0,
142,85.0,532.0,15.0,
143,455.0,0.0,13.0,
144,2350.0,40.0,16.0,
145,1900.0,216.0,17.0,
