,mineral_count,vispen_count,scv_count,reward
0,,,,
1,1595.0,0.0,17.0,
2,1140.0,0.0,15.0,
3,1020.0,0.0,16.0,
4,795.0,196.0,13.0,
5,625.0,116.0,16.0,
6,1490.0,100.0,16.0,
7,1570.0,16.0,17.0,
8,840.0,212.0,13.0,
9,640.0,220.0,16.0,
10,520.0,264.0,16.0,
11,245.0,176.0,14.0,
12,1230.0,0.0,13.0,
13,850.0,0.0,16.0,
14,1205.0,68.0,14.0,
15,965.0,88.0,15.0,
16,1045.0,228.0,15.0,
17,905.0,0.0,14.0,
18,885.0,40.0,14.0,
19,1260.0,176.0,16.0,
20,670.0,124.0,14.0,
21,740.0,168.0,13.0,
22,585.0,72.0,17.0,
23,755.0,136.0,15.0,
24,945.0,164.0,14.0,
25,565.0,216.0,15.0,
26,975.0,236.0,13.0,
27,330.0,12.0,16.0,
28,1075.0,360.0,17.0,
29,935.0,52.0,18.0,
30,895.0,188.0,15.0,
31,1045.0,4.0,17.0,
32,1630.0,64.0,16.0,
33,430.0,304.0,15.0,
34,1095.0,100.0,18.0,
35,640.0,272.0,16.0,
36,900.0,144.0,15.0,
37,845.0,112.0,16.0,
38,1085.0,4.0,13.0,
39,995.0,196.0,15.0,
40,1580.0,288.0,14.0,
41,920.0,392.0,18.0,
42,435.0,324.0,19.0,
43,1020.0,68.0,15.0,
44,675.0,240.0,12.0,
45,995.0,4.0,16.0,
46,835.0,212.0,12.0,
47,295.0,112.0,21.0,
48,500.0,152.0,14.0,
49,640.0,52.0,15.0,
50,1025.0,272.0,12.0,
51,905.0,156.0,14.0,
52,1010.0,0.0,14.0,
53,2675.0,0.0,15.0,
54,2675.0,0.0,15.0,
55,2090.0,0.0,13.0,
56,1055.0,108.0,13.0,
57,1600.0,316.0,14.0,
58,1045.0,272.0,16.0,
59,1130.0,288.0,15.0,
60,1685.0,492.0,14.0,
61,980.0,432.0,13.0,
62,1110.0,536.0,15.0,
63,1155.0,228.0,16.0,
64,525.0,328.0,18.0,
65,325.0,60.0,15.0,
66,830.0,72.0,19.0,
67,540.0,340.0,15.0,
68,280.0,12.0,14.0,
69,75.0,48.0,15.0,
70,400.0,160.0,16.0,
71,1315.0,276.0,15.0,
72,1805.0,352.0,13.0,
73,1280.0,264.0,15.0,
74,935.0,116.0,15.0,
75,1480.0,96.0,15.0,
76,1195.0,300.0,15.0,
77,945.0,416.0,16.0,
78,1680.0,380.0,16.0,
79,1220.0,132.0,13.0,
80,2235.0,232.0,14.0,
81,3015.0,136.0,15.0,
82,865.0,292.0,14.0,
83,970.0,248.0,14.0,
84,890.0,132.0,20.0,
85,2320.0,0.0,14.0,
86,2025.0,0.0,14.0,
87,2800.0,0.0,15.0,
88,1850.0,36.0,15.0,
89,1270.0,284.0,19.0,
90,1515.0,264.0,14.0,
91,130.0,120.0,19.0,
92,615.0,48.0,14.0,
93,2000.0,172.0,13.0,
94,1410.0,352.0,17.0,
95,750.0,164.0,17.0,
96,675.0,332.0,19.0,
97,690.0,0.0,14.0,
98,1885.0,80.0,16.0,
99,1670.0,148.0,14.0,
100,2745.0,0.0,15.0,
101,2020.0,276.0,16.0,
102,25.0,244.0,15.0,
103,1300.0,0.0,13.0,
104,2330.0,0.0,15.0,
105,2125.0,0.0,15.0,
106,265.0,348.0,18.0,
