,reward
0,0.0
1,35.0
2,19.0
3,36.0
4,20.0
5,24.0
6,16.0
7,19.0
8,20.0
9,32.0
10,51.0
11,19.0
12,24.0
13,33.0
14,21.0
15,40.0
16,15.0
17,17.0
18,50.0
19,95.0
20,97.0
21,88.0
22,95.0
23,94.0
24,94.0
25,91.0
26,96.0
27,87.0
28,98.0
29,97.0
30,85.0
31,88.0
32,93.0
33,95.0
34,94.0
35,86.0
36,88.0
37,93.0
38,96.0
39,87.0
40,84.0
41,91.0
42,90.0
43,103.0
44,90.0
45,83.0
46,97.0
47,93.0
48,93.0
49,90.0
50,90.0
51,94.0
52,95.0
53,91.0
54,88.0
55,87.0
56,93.0
57,89.0
58,86.0
59,91.0
60,91.0
61,88.0
62,90.0
63,90.0
64,85.0
65,97.0
66,82.0
67,100.0
68,90.0
69,86.0
70,87.0
71,84.0
72,91.0
73,94.0
74,95.0
75,90.0
76,87.0
77,91.0
78,97.0
79,98.0
80,88.0
81,92.0
82,95.0
83,95.0
84,92.0
85,79.0
86,92.0
87,98.0
88,96.0
89,87.0
90,84.0
91,92.0
92,87.0
93,93.0
94,84.0
95,92.0
96,93.0
97,90.0
98,94.0
99,93.0
100,92.0
