,reward
0,0.0
1,9.0
2,7.0
3,4.0
4,4.0
5,9.0
6,5.0
7,3.0
8,6.0
9,4.0
10,4.0
11,6.0
12,8.0
13,8.0
14,3.0
15,7.0
16,6.0
17,7.0
18,10.0
19,9.0
20,2.0
21,5.0
22,3.0
23,5.0
24,7.0
25,6.0
26,8.0
27,10.0
28,8.0
29,8.0
30,6.0
31,8.0
32,6.0
33,6.0
34,6.0
35,8.0
36,7.0
37,4.0
38,7.0
39,14.0
40,24.0
41,24.0
42,26.0
43,26.0
44,27.0
45,25.0
46,25.0
47,23.0
48,23.0
49,24.0
50,22.0
51,25.0
52,27.0
53,27.0
54,27.0
55,24.0
56,27.0
57,25.0
58,27.0
59,24.0
60,25.0
61,22.0
62,27.0
63,19.0
64,16.0
65,12.0
66,14.0
67,25.0
68,28.0
69,25.0
70,25.0
71,28.0
72,25.0
73,26.0
74,29.0
75,27.0
76,26.0
77,28.0
78,22.0
79,24.0
80,24.0
81,26.0
82,27.0
83,26.0
84,29.0
85,23.0
86,28.0
87,26.0
88,24.0
89,26.0
90,19.0
91,26.0
92,19.0
93,28.0
94,32.0
95,22.0
96,25.0
97,23.0
98,20.0
99,18.0
100,26.0
101,24.0
102,14.0
103,25.0
104,20.0
105,21.0
106,25.0
107,24.0
108,20.0
109,9.0
110,16.0
111,10.0
112,9.0
113,6.0
114,13.0
115,16.0
116,18.0
117,10.0
118,5.0
119,9.0
120,13.0
121,26.0
122,27.0
123,27.0
124,24.0
125,27.0
126,25.0
127,25.0
128,26.0
129,24.0
130,24.0
131,22.0
132,16.0
133,25.0
134,24.0
135,27.0
136,26.0
137,28.0
138,23.0
139,27.0
140,24.0
141,29.0
142,28.0
143,11.0
144,27.0
145,27.0
146,25.0
147,25.0
148,24.0
149,25.0
150,27.0
151,27.0
152,27.0
153,24.0
154,21.0
155,19.0
156,15.0
157,25.0
158,16.0
159,18.0
160,14.0
161,24.0
162,28.0
163,19.0
164,18.0
165,24.0
166,28.0
167,26.0
168,23.0
169,29.0
170,23.0
171,22.0
172,14.0
173,25.0
174,27.0
175,25.0
176,21.0
177,27.0
