state,0,1,2,3,4,5,6,7,8,9,10,11,12
"[0, 0, 12, 0, 0, 0, 0, 0, 0]",0.0004314630697948597,0.00041847098171823047,0.0004058355080970535,0.00013826069697577326,-0.47702652968785014,0.00044393890437732347,0.0003673778576322626,0.00035803787794151735,0.00039281296024436664,0.0017043596715163485,0.0003919219631814485,0.00037401290215723386,0.000389837333655826
"[0, 1, 12, 0, 0, 0, 0, 0, 0]",1.625990254624293e-06,2.0887090655551955e-06,2.105474244124829e-06,4.807891422643852e-06,-0.011937878890334284,6.732723499763992e-06,0.0003820885578652134,4.8856842555282485e-06,2.6805252588618344e-06,3.248229691494834e-07,1.92012471131606e-06,2.221682963357922e-08,1.640976256670201e-06
"[0, 1, 13, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.006,0.0,6.357539172593923e-08,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 13, 0, 0, 0, 0, 0, 0]",6.484591043483225e-06,1.331630901368539e-07,2.782565221465218e-07,1.2869624905435845e-11,-0.02940567427852455,1.3901597577681672e-07,7.397404511843644e-08,3.923579214616443e-07,1.3427880795526882e-07,2.787607048713058e-07,4.071704310847421e-07,7.541997410608383e-08,3.436410902417912e-07
"[0, 1, 13, 0, 1, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 13, 0, 1, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 13, 0, 2, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 13, 0, 2, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 14, 0, 2, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 14, 0, 2, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 14, 0, 2, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 14, 0, 3, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 14, 0, 3, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 15, 0, 3, 0, 0, 0, 0]",0.0,0.0,0.003,0.0,-0.011940000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 15, 0, 3, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 15, 0, 3, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 15, 0, 2, 0, 0, 0, 0]",0.0,0.0,0.003,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 15, 0, 2, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 15, 0, 1, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 16, 0, 1, 0, 0, 0, 0]",0.0,0.0,0.003,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 16, 0, 0, 0, 0, 0, 0]",0.0,0.0,1.0753053476402982e-05,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 16, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0
"[0, 1, 16, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 16, 1, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 16, 1, 0, 0, 0, 0, 0]",0.001386589596239723,0.0,0.0,0.0,0.0,0.0,0.0009637818992216713,0.0010698012992051273,0.1929158469784222,0.00026676593433275344,0.0,0.0,0.000804354496451892
"[0, 1, 16, 1, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0008575501419554404,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 16, 0, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.0178206,0.0,0.0,2.6414234109455325e-06,0.0,3.373073556441552e-06,0.0007727548266773336,0.0,0.0
"[0, 1, 16, 0, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.011940000000000001,0.0,3.1273422588068234e-05,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 16, 0, 0, 1, 0, 1, 0]",0.000331122851398853,0.001969958665775553,0.0003140275639112016,2.530368440769014e-05,-0.093674261218041,0.0004425460244290045,2.9413690730864623e-05,0.0003399344051822608,0.00045221817362468434,0.0002467765956001036,0.00027378548392421013,0.0002983746687429429,0.0002720699388429536
"[1, 0, 16, 0, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0
"[0, 0, 17, 0, 0, 1, 0, 1, 0]",0.0,0.0,0.0,0.0,-0.0178206,0.0,0.0,0.0,0.0,0.0007364143614203405,0.0,0.0,0.0
"[0, 1, 17, 0, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 17, 0, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.00016038540000000006,0.035346152341882965,0.0,0.0,0.0,0.0
"[0, 0, 17, 0, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,2.399979731400001e-06,0.0,0.0
"[0, 0, 17, 0, 0, 1, 1, 0, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6714e-07,0.0,0.0
"[0, 0, 17, 0, 0, 1, 1, 0, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.400000000000001e-05,0.0,0.0,0.0
"[0, 1, 17, 0, 0, 1, 1, 0, 9]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 17, 0, 0, 1, 1, 0, 6]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 17, 1, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022185130722812724,0.0,0.0
"[0, 0, 17, 1, 0, 1, 0, 1, 0]",0.007238441780680826,0.006187102640272182,0.003960333801755753,0.011527019238553513,-0.01194,0.00841185504458735,0.0,0.016654783646162494,0.821352708820993,0.0,0.010600415928978977,0.0,0.0
"[0, 1, 17, 1, 0, 1, 0, 0, 0]",0.0,0.0014917638036368401,0.0029423172508692163,0.004416630034031888,-0.005302196594540595,0.0005375764686735967,0.0,0.006262246031764866,0.5564854283380666,0.0008894914196996797,0.0,0.0034506025988494857,0.004580516484849492
"[0, 0, 17, 1, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.011940000000000001,0.0,0.0,0.0,0.0,0.0,0.007641378676492208,0.0,0.0
"[0, 1, 18, 0, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.011940000000000001,0.0,0.0,0.0,0.0,0.0,4.860000000000001e-07,0.0,0.0
"[0, 0, 18, 0, 0, 1, 0, 0, 0]",9.19618513534973e-08,0.0,5.753471908263345e-07,0.0,-0.01781970386201922,0.0,4.0670618358197976e-07,0.0,0.0,0.0,0.00013041522975598636,8.722288673500214e-07,0.0
"[0, 0, 18, 0, 0, 1, 0, 1, 0]",5.6735207071615044e-06,0.0,9.522186774990656e-06,0.0,-0.023634829294355154,0.0,0.0,2.8599546091638023e-06,7.673351713990913e-06,0.0004902237217458165,0.0,6.730538786698096e-06,2.833164171596845e-06
"[1, 0, 18, 0, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04399928353675521,0.0,0.0,0.0,0.0
"[1, 0, 18, 1, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.003366135976496956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 18, 1, 0, 1, 0, 0, 0]",0.0,0.006213468793792159,0.007654791322675577,0.007747435394821549,-0.008891615993040133,0.011022299517684029,0.0,0.007322387303428952,0.9430246672284464,0.005393739886361608,0.002416916103288923,0.003382077726441607,0.007608399722397977
"[0, 1, 18, 1, 0, 1, 0, 0, 0]",0.002697506862308937,0.0033628235102604446,0.0013743420808173259,0.0,-0.006551399932176306,0.0,0.0,0.0,0.2376964605979799,0.0,0.0,0.0,0.0
"[0, 0, 18, 1, 0, 1, 0, 1, 0]",0.004644467125117506,0.00568019949265661,0.0034388355508761194,0.0024556871399407936,0.0,0.0,0.003858031738130549,0.0,0.4454691314664175,0.0,0.0,0.0,0.0
"[0, 0, 19, 1, 0, 1, 0, 1, 0]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 19, 1, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 19, 1, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 19, 1, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.000269460539730054,0.0,0.0,0.10601600891438387,0.0,0.0,0.0,0.0
